"Gene.Set","RNA.Expression.P.val","RNA.Expression.Enrichment.Score","RNA.Expression.P.adj","TSS.Coverage.P.val","TSS.Coverage.Enrichment.Score","TSS.Coverage.P.adj","Methylation.P.val","Methylation.Enrichment.Score","Methylation.P.adj","CpG.Coverage.P.val","CpG.Coverage.Enrichment.Score","CpG.Coverage.P.adj","LE.Intersect.1","LE.Intersect.2","LE.Intersect.3","LE.Intersect.4","LE.Intersect.5","LE.Intersect.6","LE.Intersect.7","LE.Intersect.8","LE.Intersect.9","LE.Intersect.10","LE.Intersect.11","LE.Intersect.12","LE.Intersect.13","LE.Intersect.14","LE.Intersect.15","LE.Intersect.16","LE.Intersect.17","LE.Intersect.18","LE.Intersect.19","LE.Intersect.20","LE.Intersect.21","LE.Intersect.22","LE.Intersect.23","LE.Intersect.24","LE.Intersect.25","LE.Intersect.26","LE.Intersect.27","LE.Intersect.28","LE.Intersect.29","LE.Intersect.30","LE.Intersect.31","LE.Intersect.32","LE.Intersect.33","LE.Intersect.34","LE.Intersect.35","LE.Intersect.36","LE.Intersect.37","LE.Intersect.38","LE.Intersect.39","LE.Intersect.40","LE.Intersect.41","LE.Intersect.42","LE.Intersect.43","LE.Intersect.44","LE.Intersect.45","LE.Intersect.46","LE.Intersect.47","LE.Intersect.48","LE.Intersect.49","LE.Intersect.50","LE.Intersect.51","LE.Intersect.52","LE.Intersect.53","LE.Intersect.54","LE.Intersect.55","LE.Intersect.56","LE.Intersect.57","LE.Intersect.58","LE.Intersect.59","LE.Intersect.60","LE.Intersect.61","LE.Intersect.62","LE.Intersect.63","LE.Intersect.64","LE.Intersect.65","LE.Intersect.66","LE.Intersect.67","LE.Intersect.68","LE.Intersect.69","LE.Intersect.70","LE.Intersect.71","LE.Intersect.72","LE.Intersect.73","LE.Intersect.74","LE.Intersect.75","LE.Intersect.76","LE.Intersect.77","LE.Intersect.78","LE.Intersect.79"
"KEGG_PURINE_METABOLISM",1e-04,0.197718956883198,0.000165384615384615,3e-04,-0.160090799897959,0.000516,0.0981,-0.151764080982247,0.23435,0.6833,0.0876075098571982,0.699569047619048,"ENTPD6","POLR2H","ADSL","POLD3","DCK","PRIM1","RRM2","DGUOK","GMPR","NME2","POLD4","NT5C","POLE4","NT5C2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KEGG_MAPK_SIGNALING_PATHWAY",0.0992,0.0755532863095126,0.104039024390244,1e-04,-0.142716665721148,0.00018695652173913,0.35,0.0769688492397975,0.5375,0.034,-0.119611264756403,0.0664545454545455,"DDIT3","PLA2G6","RAC1","TGFBR1","IKBKB","MAP4K2","TAOK3","MAP2K2","HRAS","PAK2","MAP3K5","MAPK8","MKNK2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KEGG_CALCIUM_SIGNALING_PATHWAY",1e-04,-0.213016928438779,0.000165384615384615,1e-04,0.174848141644698,0.00018695652173913,0.0892,0.134049579299738,0.225623529411765,3e-04,0.233732923188274,0.00184285714285714,"CALML5","PTGFR","GRM1","GRIN2A","SLC25A31","CACNA1G","CACNA1E","CHP2","GNA14","CHRM1","HTR6","ADRB3","EGFR","CACNA1A","EDNRA","NOS2","NTSR1","SLC8A2","CALML3","GRIN1","LHCGR","HTR4","PTGER1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION",1e-04,-0.264855194330303,0.000165384615384615,1e-04,0.25757532959256,0.00018695652173913,0.2476,0.105650552388994,0.435953846153846,0.0055,0.175547111392583,0.0168928571428571,"IFNA2","LIF","CX3CL1","BMP7","ACVRL1","TNFRSF8","CXCL14","EGFR","LEP","IFNL1","CCL28","CCR10","TSLP","KDR","TNFSF14","TNFRSF6B","TGFB2","TNFRSF18","IL20RA","AMH","IL17RB","OSMR","IL13","TNFRSF25","CD40","FLT3","TNFRSF4","IL5","CCL25","CXCL2","IFNK","CCL19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KEGG_CHEMOKINE_SIGNALING_PATHWAY",0.0545,0.100933675312693,0.0585875,0.0185,-0.116389762250031,0.0241060606060606,0.6598,0.0840176623742171,0.774220512820513,0.0039,-0.198895222011118,0.013975,"PRKCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION",1e-04,-0.410696095817307,0.000165384615384615,1e-04,0.341787959169189,0.00018695652173913,0.001,0.182324423994126,0.00614285714285714,1e-04,0.353250348882176,0.00086,"PRSS3","NPY4R","PTGFR","CHRNA3","MC3R","HTR1A","GABRG3","HTR1E","NPBWR2","MTNR1B","NMBR","GRM1","GRIK2","GRIN2A","EDNRB","GHSR","GABRB1","MC5R","NPFFR2","GALR1","S1PR3","S1PR2","CHRM1","HTR6","GRIN3A","NTSR2","ADRB3","P2RX2","GRIA4","LEP","SSTR5","CALCR","GRM7","EDNRA","GABRA5","UTS2R","NTSR1","P2RY6","CHRNB4","SCTR","GRIN1","GRID1","GRM6","TSHR","F2RL1","S1PR5","CHRNA10","GPR156","GPR83","LHCGR","GRIA2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KEGG_ENDOCYTOSIS",1e-04,0.245902493663923,0.000165384615384615,1e-04,-0.275035259070057,0.00018695652173913,0.8149,-0.0639849639420622,0.854651219512195,0.0234,-0.152317718441643,0.0559,"AP2A1","WWP1","SMURF1","CDC42","SMURF2","AP2M1","GRK5","CLTB","EPS15","USP8","RABEP1","GIT2","EHD4","RAB11FIP2","ACAP2","CLTA","DNM1L","TRAF6","STAM","ARAP3","ITCH","ADRB2","RBSN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KEGG_WNT_SIGNALING_PATHWAY",0.398,0.0725746850061121,0.398,3e-04,-0.17446033521116,0.000516,0.4369,-0.09508501615347,0.598640625,0.4889,-0.0922711858971791,0.568181081081081,"RBX1","CTNNBIP1","RAC1","NLK","SMAD2","PPP2CB","PRKCA","ROCK2","CTNNB1","EP300","PPP3CB","PRKCB","CAMK2G","PPP2R5A","CSNK2A1","TBL1XR1","PRKCG","FRAT2","AXIN2","MAPK8","NKD1","BTRC","PPARD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KEGG_FOCAL_ADHESION",0.0054,0.12404502562357,0.00682941176470588,0.0988,-0.0870453825570621,0.117843243243243,0.8458,0.0578381349552498,0.8633,0.4863,-0.078573733076822,0.568181081081081,"AKT2","PPP1CB","RAC1","ACTN4","TLN1","CDC42","RAP1A","SOS1","PRKCA","PIK3R1","HRAS","PTK2","BRAF","ITGA2B","ROCK2","CTNNB1","PAK2","PRKCB","ITGB5","SHC2","PRKCG","SOS2","PIK3CA","MAPK8","VEGFB","SRC","ACTN2","LAMC1","FYN","PAK4","ITGA9","BCL2","CCND3","RELN","RAF1","MYLK","PDGFC","ITGA5","BIRC3","PDGFA","PGF","ZYX","ITGAV","ITGB3","RAC3","AKT3","CAPN2","MET","THBS4","CAV2","MYL5","CRK","COL4A1","SHC3","JUN","MYLK2","COL6A1","VAV1","ITGB4","COL11A2","COMP","COL5A1","FLT1","LAMC3","FLT4","MYL9","PIK3R2","PIP5K1C","PARVA","PDGFD","COL6A2","PARVB","LAMA5","PIK3CG","CCND2","PDGFB","LAMA3","FLNC","COL2A1"
"KEGG_JAK_STAT_SIGNALING_PATHWAY",0.1309,-0.0959494354853748,0.134016666666667,0.0045,0.144541451627172,0.00624193548387097,0.4621,-0.109110960669127,0.602130303030303,0.5706,-0.100329759122972,0.629123076923077,"IFNK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KEGG_OLFACTORY_TRANSDUCTION",1e-04,-0.73595633862554,0.000165384615384615,1e-04,0.612029334057329,0.00018695652173913,0.0037,0.321763322174975,0.0144636363636364,0.0039,0.31785035736904,0.013975,"OR10H2","CLCA4","OR6S1","OR1M1","OR2V2","OR14I1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KEGG_REGULATION_OF_ACTIN_CYTOSKELETON",0.0233,0.103588503174366,0.0278305555555556,0.0108,-0.111181308747542,0.0145125,0.4455,0.0846002776338432,0.598640625,0.387,-0.0887839765610507,0.477914285714286,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KEGG_ALZHEIMERS_DISEASE",1e-04,0.420341999265482,0.000165384615384615,0.0021,-0.150593586991249,0.00311379310344828,0.7299,0.0883792762463473,0.7846425,0.7084,0.0901658833594435,0.7084,"NDUFA7","TNFRSF1A","COX6B1","NDUFB8","UQCR11","UQCRH","ATP2A3","BID","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KEGG_HUNTINGTONS_DISEASE",1e-04,0.450037084074523,0.000165384615384615,1e-04,-0.167839632521359,0.00018695652173913,0.1384,-0.127363096335607,0.313221052631579,0.1703,-0.12253068357637,0.252513793103448,"AP2A1","NDUFV2","AP2M1","SDHB","CLTB","NDUFB1","TFAM","SOD2","CLTA","HDAC2","AP2S1","NDUFAB1","SOD1","CYCS","ATP5F1B","PPID","POLR2H","NDUFA9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KEGG_PATHWAYS_IN_CANCER",9e-04,0.112229393312734,0.00138214285714286,1e-04,-0.120177716654279,0.00018695652173913,0.5834,-0.0584315852146246,0.737829411764706,0.2626,-0.0764624013530887,0.376393333333333,"RBX1","AKT2","RAC1","TGFBR1","IKBKB","SMAD2","ARNT","CDC42","CCNE1","SOS1","NFKB1","NFKBIA","MAP2K2","PIK3R1","HRAS","PIK3CB","PTK2","RALGDS","CTNNB1","EP300","EGLN2","PRKCB","PLCG2","VHL","PIAS2","ELOB","PIK3CA","MAPK8","E2F3","RELA","TGFBR2","VEGFB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",1e-04,0.225494043521566,0.000165384615384615,1e-04,-0.159229719636991,0.00018695652173913,0.4245,0.0848367837576934,0.598640625,0.0068,-0.165007962517754,0.0194933333333333,"CD83","B4GALT1","DUSP1","EIF1","CXCL3","NINJ1","SOCS3","B4GALT5","DENND5A","RHOB","SPHK1","RELA","ZFP36","TNIP2","DDX58","SNN","TNFAIP2","PHLDA2","IFNGR2","FOSL2","CDKN1A","SMAD3","SLC2A6","CSF1","TRIB1","FOSL1","FOSB","BCL6","ID2","TANK","IER2","IL15RA","MAFF","EGR3","KLF6","TUBB2A","TNFSF9","BHLHE40","EHD1","GADD45B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_HYPOXIA",1e-04,0.170904085538632,0.000165384615384615,0.1844,-0.0779441228020411,0.188790476190476,0.6683,-0.0716569928768698,0.774220512820513,0.5479,-0.0789028681861808,0.619992105263158,"DDIT3","FOS","MXI1","SDC3","KLF7","SLC6A6","DUSP1","MYH9","PRKCA","PLAUR","TPST2","NR3C1","VHL","PNRC1","NDST2","MT1E","EXT1","ZFP36","HDLBP","SAP30","EFNA3","GRHPR","FOSL2","TGFB3","PAM","FBP1","CXCR4","ALDOC","BCL2","RRAGD","PLIN2","CITED2","ANXA2","SCARB1","NEDD4L","ERRFI1","CCN1","GPI","PGF","TGM2","CASP6","TIPARP","ZNF292","SLC2A1","ALDOA","ERO1A","CDKN1C","AMPD3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_MITOTIC_SPINDLE",1e-04,0.401382044041673,0.000165384615384615,1e-04,-0.344768625355409,0.00018695652173913,0.0342,-0.14762438321653,0.12255,1e-04,-0.240261954638142,0.00086,"CAPZB","VCL","PREX1","CLIP2","CDC42","HOOK3","SOS1","MYH9","ARHGEF2","TLK1","RANBP9","LLGL1","SPTAN1","STAU1","INCENP","NCK2","CTTN","CEP192","NF1","PCGF5","GEMIN4","DYNLL2","CD2AP","ALMS1","TUBGCP3","EPB41","SAC3D1","LRPPRC","KIF11","STK38L","APC","NCK1","RACGAP1","CCDC88A","ARAP3","CDK5RAP2","TTK","KIF3C","GSN","KATNA1","PKD2","KATNB1","LATS1","CENPE","BCL2L11","DOCK2","ECT2","CCNB2","TOP2A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_G2M_CHECKPOINT",1e-04,0.56477369702427,0.000165384615384615,1e-04,-0.331746872846178,0.00018695652173913,1e-04,-0.234624083959106,0.00215,7e-04,-0.212067613619229,0.00334444444444444,"PDS5B","CTCF","H2AZ2","HNRNPD","CHAF1A","UPF1","INCENP","SQLE","NASP","XPO1","H2AX","E2F3","H2AZ1","CUL4A","SLC7A1","KMT5A","SAP30","MCM5","HMGA1","TRA2B","KIF11","GINS2","UBE2S","CUL1","RACGAP1","PRPF4B","MTF2","EXO1","CENPA","TTK","CDC25A","SS18","CBX1","TRAIP","KATNA1","CENPE","CDC20","CCNA2","MCM6","MYBL2","TLE3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
